Aluno: Vitor Allace Marques Costa		6 periodo - BCC 2023

PID	|	EXEC	|	TP	|	CP	|	NES	|	nCPU
2		7000		429		430		27		27
2		7000		475		476		27		28
2		7000		475		476		28		28
3		3000		474		475		27		27
3		3000		480		481		27		28
3		3000		480		481		28		28
4		3000		516		517		27		27
4		3000		526		527		27		28
4		3000		526		527		28		28
5		8000		464		465		27		27
5		8000		523		524		27		28
5		8000		523		524		28		28
6		2000		349		350		27		27
6		2000		356		357		27		28
6		2000		356		357		28		28
7		5000		420		421		27		27
7		5000		423		424		27		28
7		5000		423		424		28		28
8		4000		340		341		27		27
8		4000		379		380		27		28
8		4000		379		380		28		28
9		10000		530		531		27		27
9		10000		560		561		27		28
9		10000		560		561		28		28
0		10000		414		415		28		28
0		10000		432		433		28		29
0		10000		432		433		29		29
1		5000		480		481		28		28
1		5000		482		483		28		29
1		5000		482		483		29		29
2		7000		475		476		28		28
2		7000		514		515		28		29
2		7000		514		515		29		29
3		3000		480		481		28		28
3		3000		496		497		28		29
3		3000		496		497		29		29
4		3000		526		527		28		28
4		3000		531		532		28		29
4		3000		531		532		29		29
5		8000		523		524		28		28
5		8000		555		556		28		29
5		8000		555		556		29		29
6		2000		356		357		28		28
6		2000		378		379		28		29
6		2000		378		379		29		29
7		5000		423		424		28		28
7		5000		438		439		28		29
7		5000		438		439		29		29
8		4000		379		380		28		28
8		4000		420		421		28		29
8		4000		420		421		29		29
9		10000		560		561		28		28
9		10000		563		564		28		29
9		10000		563		564		29		29
0		10000		432		433		29		29
0		10000		464		465		29		30
0		10000		464		465		30		30
1		5000		482		483		29		29
1		5000		513		514		29		30
1		5000		513		514		30		30
2		7000		514		515		29		29
2		7000		518		519		29		30
2		7000		518		519		30		30
3		3000		496		497		29		29
3		3000		500		501		29		30
3		3000		500		501		30		30
4		3000		531		532		29		29
4		3000		608		609		29		30
4		3000		608		609		30		30
5		8000		555		556		29		29
5		8000		589		590		29		30
5		8000		589		590		30		30
6		2000		378		379		29		29
6		2000		385		386		29		30
6		2000		385		386		30		30
7		5000		438		439		29		29
7		5000		442		443		29		30
7		5000		442		443		30		30
8		4000		420		421		29		29
8		4000		428		429		29		30
8		4000		428		429		30		30
9		10000		563		564		29		29
9		10000		620		621		29		30
9		10000		620		621		30		30
0		10000		464		465		30		30
0		10000		477		478		30		31
0		10000		477		478		31		31
1		5000		513		514		30		30
1		5000		521		522		30		31
1		5000		521		522		31		31
2		7000		518		519		30		30
2		7000		522		523		30		31
2		7000		522		523		31		31
3		3000		500		501		30		30
3		3000		528		529		30		31
3		3000		528		529		31		31
4		3000		608		609		30		30
4		3000		629		630		30		31
4		3000		629		630		31		31
5		8000		589		590		30		30
5		8000		591		592		30		31
5		8000		591		592		31		31
6		2000		385		386		30		30
6		2000		389		390		30		31
6		2000		389		390		31		31
7		5000		442		443		30		30
7		5000		444		445		30		31
7		5000		444		445		31		31
8		4000		428		429		30		30
8		4000		451		452		30		31
8		4000		451		452		31		31
9		10000		620		621		30		30
9		10000		635		636		30		31
9		10000		635		636		31		31
0		10000		477		478		31		31
0		10000		491		492		31		32
0		10000		491		492		32		32
1		5000		521		522		31		31
1		5000		533		534		31		32
1		5000		533		534		32		32
2		7000		522		523		31		31
2		7000		525		526		31		32
2		7000		525		526		32		32
3		3000		528		529		31		31
3		3000		530		531		31		32
3		3000		530		531		32		32
4		3000		629		630		31		31
4		3000		650		651		31		32
4		3000		650		651		32		32
5		8000		591		592		31		31
